38.5783825	-92.1733808
38.5186669	-92.0513176
38.4891274	-92.1755848
38.5799414	-92.1740616
38.5783825	-92.1733808
38.57836	-92.17327
38.57836	-92.17321
38.57836	-92.17316
38.57836	-92.1731
38.57836	-92.17298
38.57836	-92.17297
38.57838	-92.1728
38.5784	-92.17276
38.57848	-92.17255
38.57848	-92.17254
38.57852	-92.17246
38.57854	-92.17242
38.57855	-92.1724
38.57855	-92.17238
38.57856	-92.17235
38.57856	-92.17232
38.57856	-92.17224
38.5785649	-92.1722436
38.57854	-92.17216
38.5785	-92.17207
38.57837	-92.17184
38.57843	-92.17177
38.57847	-92.17173
38.57849	-92.1717
38.57854	-92.17169
38.57858	-92.17169
38.57862	-92.1717
38.57868	-92.17173
38.57873	-92.17175
38.57876	-92.17175
38.57878	-92.17176
38.57884	-92.17175
38.57889	-92.17174
38.57896	-92.1717
38.57899	-92.17168
38.57903	-92.17168
38.57906	-92.17169
38.57909	-92.17172
38.57911	-92.17178
38.57912	-92.1718
38.57914	-92.1719
38.5791406	-92.1719029
38.57928	-92.17189
38.57942	-92.17189
38.57955	-92.17194
38.57974	-92.17206
38.57984	-92.1722
38.57985	-92.17222
38.57995	-92.1724
38.57996	-92.17243
38.58002	-92.17261
38.58005	-92.17277
38.58005	-92.17287
38.58005	-92.17294
38.58005	-92.17307
38.58005	-92.1731
38.58001	-92.17332
38.5800105	-92.1733241
38.57997	-92.17336
38.57995	-92.1734
38.57993	-92.17348
38.57993	-92.17352
38.57992	-92.17356
38.5799	-92.17366
38.57988	-92.17373
38.57985	-92.17379
38.57984	-92.17379
38.5798	-92.17384
38.57971	-92.17394
38.5797113	-92.1739446
38.57959	-92.17417
38.57954	-92.17424
38.57948	-92.1743
38.57914	-92.1747
38.57893	-92.17493
38.57886	-92.17502
38.57875	-92.17515
38.57848	-92.17545
38.57835	-92.17561
38.57823	-92.17574
38.5781	-92.17589
38.57797	-92.17605
38.57783	-92.1762
38.5777	-92.17636
38.57757	-92.17651
38.57747	-92.17663
38.57744	-92.17666
38.57733	-92.17678
38.57725	-92.17688
38.577248	-92.1768754
38.57705	-92.1771
38.57697	-92.1772
38.57686	-92.17705
38.5768	-92.17698
38.57673	-92.1769
38.57667	-92.17684
38.5766	-92.17677
38.57652	-92.17671
38.57643	-92.17665
38.57637	-92.17661
38.5763	-92.17658
38.57624	-92.17655
38.57613	-92.17651
38.57604	-92.17649
38.57597	-92.17648
38.5759	-92.17646
38.57575	-92.17644
38.57567	-92.17643
38.57548	-92.1764
38.57535	-92.17638
38.57523	-92.17636
38.57513	-92.17635
38.57505	-92.17633
38.57497	-92.17631
38.5749	-92.1763
38.57486	-92.17628
38.57481	-92.17627
38.57477	-92.17625
38.57474	-92.17624
38.57466	-92.1762
38.5746	-92.17617
38.57457	-92.17615
38.57455	-92.17614
38.57449	-92.1761
38.57442	-92.17605
38.57438	-92.17602
38.57433	-92.17598
38.57423	-92.17588
38.57412	-92.17575
38.57372	-92.1752
38.57359	-92.175
38.57321	-92.17446
38.57263	-92.17366
38.57229	-92.17317
38.57193	-92.17266
38.57182	-92.1725
38.57181	-92.17248
38.57176	-92.17241
38.57167	-92.17228
38.5716	-92.17217
