          -86.77558,36.1468
          -86.77556,36.14681
          -86.77554,36.14681
          -86.77543,36.14685
          -86.77524,36.14694
          -86.77522,36.14696
          -86.77508,36.14707
          -86.77496,36.14706
          -86.77474,36.14706
          -86.7747,36.14708
          -86.77459,36.14711
          -86.77457,36.14712
          -86.7745,36.14714
          -86.77447,36.14716
          -86.77443,36.1472
          -86.77436,36.1473
          -86.77391,36.14724
          -86.77347,36.1472
          -86.77337,36.14724
          -86.77333,36.14725
          -86.77328,36.14727
          -86.77327,36.14728
          -86.77323,36.1473
          -86.77298,36.14747
          -86.77293,36.14751
          -86.77264,36.14771
          -86.77261,36.14774
          -86.7722,36.14804
          -86.7725,36.14852
          -86.77261,36.14868
          -86.7731,36.14945
          -86.77311,36.14947
          -86.7732,36.14961
          -86.77321,36.14962
          -86.77323,36.14965
          -86.77324,36.14967
          -86.77325,36.14967
          -86.77325,36.14968
          -86.77326,36.1497
          -86.77328,36.14972
          -86.77372,36.1504
          -86.77415,36.15103
          -86.77425,36.15119
          -86.77375,36.15147
          -86.7736,36.15154
          -86.77357,36.15156
          -86.77283,36.1519
          -86.77247,36.15205
          -86.77222,36.15213
          -86.77194,36.15203
          -86.77179,36.15197
          -86.77121,36.1518
          -86.77076,36.15112
          -86.77076,36.15097
          -86.77077,36.15095
          -86.7708,36.15091
          -86.77084,36.15082
          -86.77091,36.1508
          -86.77111,36.15072
          -86.77117,36.1507
          -86.77147,36.15055
          -86.7715,36.15054
          -86.77169,36.15042
          -86.77189,36.15032
          -86.77196,36.15028
          -86.77225,36.15014
          -86.77232,36.1501
          -86.7724,36.15006
          -86.77246,36.15004
          -86.77269,36.14994
          -86.77269,36.14993
          -86.77273,36.14984
          -86.77325,36.14966
          -86.77349,36.14959
          -86.77364,36.14953
          -86.77419,36.14938
          -86.77483,36.14923
          -86.77498,36.14923
          -86.77554,36.14912
          -86.77558,36.14912
          -86.77585,36.14907
          -86.776,36.14905
          -86.77611,36.14903
          -86.77651,36.14899
          -86.77665,36.14897
          -86.77746,36.14891
          -86.77759,36.14891
          -86.77773,36.1489
          -86.77787,36.1489
          -86.778,36.14889
          -86.77829,36.14889
          -86.77842,36.1489
          -86.77869,36.1489
          -86.77882,36.14891
          -86.77896,36.14891
          -86.77965,36.14896
          -86.77979,36.14898
          -86.78006,36.149
          -86.7801,36.14901
          -86.78032,36.14904
          -86.78046,36.14905
          -86.78057,36.14907
          -86.78073,36.14906
          -86.78099,36.1491
          -86.78114,36.14913
          -86.78127,36.14915
          -86.78166,36.14924
          -86.78188,36.14931
          -86.78202,36.14934
          -86.78256,36.14948
          -86.78271,36.14953
          -86.78296,36.1496
          -86.7835,36.14978
          -86.78381,36.1499
          -86.78397,36.14998
          -86.78405,36.15001
          -86.7842,36.15008
          -86.78421,36.15009
          -86.78436,36.15016
          -86.78475,36.15036
          -86.78509,36.15056
          -86.7855,36.15085
          -86.78552,36.15087
          -86.78571,36.15101
          -86.78583,36.15112
          -86.78585,36.15113
          -86.78611,36.15136
          -86.78624,36.15149
          -86.78649,36.15176
          -86.78651,36.15179
          -86.7866,36.1519
          -86.78693,36.15234
          -86.78698,36.15243
          -86.78819,36.15428
          -86.7888,36.15524
          -86.78932,36.15603
          -86.7898,36.15672
          -86.79032,36.15738
          -86.79118,36.1584
          -86.79122,36.15844
          -86.79222,36.15961
          -86.79245,36.15991
          -86.7926,36.16013
          -86.79274,36.16035
          -86.79286,36.16057
          -86.79304,36.16095
          -86.79314,36.16124
          -86.79323,36.16155
          -86.79331,36.16194
          -86.79336,36.16224
          -86.79337,36.16227
          -86.79347,36.16289
          -86.79359,36.16352
          -86.79367,36.16385
          -86.79372,36.16399
          -86.79375,36.16406
          -86.79377,36.16414
          -86.79379,36.1642
          -86.79381,36.16424
          -86.79392,36.16453
          -86.7941,36.16494
          -86.79419,36.16512
          -86.79422,36.16519
          -86.79441,36.16554
          -86.79482,36.16619
          -86.79601,36.16788
          -86.79611,36.16801
          -86.7963,36.16829
          -86.79642,36.16845
          -86.7969,36.16913
          -86.79692,36.16915
          -86.79703,36.1693
          -86.79713,36.16945
          -86.7982,36.17096
          -86.79825,36.17102
          -86.79862,36.17154
          -86.79874,36.17169
          -86.79887,36.17188
          -86.79894,36.17196
          -86.79893,36.17201
          -86.79893,36.17202
          -86.79905,36.1722
          -86.79912,36.17229
          -86.79913,36.17231
          -86.79937,36.17268
          -86.79955,36.17298
          -86.79961,36.1731
          -86.79966,36.17318
          -86.7998,36.17344
          -86.79986,36.17358
          -86.8,36.17387
          -86.80013,36.17419
          -86.80014,36.17423
          -86.80019,36.17435
          -86.80019,36.17436
          -86.80022,36.17443
          -86.80027,36.17457
          -86.80028,36.17462
          -86.80032,36.17475
          -86.80035,36.17483
          -86.8004,36.17503
          -86.80043,36.17511
          -86.80051,36.17545
          -86.80053,36.17552
          -86.80057,36.17576
          -86.80057,36.17577
          -86.8006,36.17593
          -86.80063,36.17617
          -86.8007,36.17625
          -86.80073,36.17654
          -86.80074,36.1766
          -86.80074,36.17668
          -86.80075,36.1768
          -86.80076,36.17682
          -86.80076,36.17686
          -86.80078,36.17711
          -86.80078,36.17746
          -86.80079,36.17754
          -86.80078,36.17778
          -86.80078,36.17791
          -86.80077,36.17802
          -86.80077,36.17813
          -86.80075,36.17836
          -86.80073,36.17846
          -86.80071,36.17868
          -86.80069,36.17879
          -86.80068,36.1789
          -86.80062,36.17922
          -86.80059,36.17933
          -86.80057,36.17944
          -86.80054,36.17955
          -86.80052,36.17965
          -86.80043,36.17998
